rank,country,average Broadband Download Speed
1,United Arab Emirates,367.35
2,Qatar,318.95
3,South Korea,246.21
4,Macau (SAR),232.22
5,Kuwait,227.51
6,Denmark,223.94
7,Norway,217.30
8,Bulgaria,195.71
9,Bahrain,189.52
10,Sweden,186.44
11,Saudi Arabia,180.85
12,China,179.74
13,Cyprus,173.60
14,India,166.08
15,Portugal,162.39
16,Australia,161.46
17,Switzerland,159.83
18,Singapore,157.47
19,United States,156.51
20,Croatia,155.52
21,North Macedonia,148.20
22,Canada,138.86
23,France,138.35
24,Finland,137.96
25,Brazil,137.65
26,Malaysia,137.13
27,Greece,135.09
28,Estonia,134.06
29,Luxembourg,131.29
30,Latvia,130.41
31,Taiwan,130.25
32,New Zealand,129.89
33,Maldives,128.52
34,Lithuania,124.63
35,Belgium,123.16
36,Netherlands,122.35
37,Oman,117.82
38,Germany,113.61
39,Slovenia,111.45
40,Hong Kong (SAR),111.39
41,Brunei,108.41
42,Malta,107.69
43,Austria,105.17
44,Hungary,96.14
45,Spain,94.68
46,United Kingdom,92.98
47,Ireland,91.23
48,Romania,89.58
49,Italy,85.75
50,Slovakia,85.19
51,Thailand,82.36
52,South Africa,79.79
53,Czechia,79.43
54,Guatemala,75.74
55,Japan,75.59
56,Dominican Republic,74.86
57,Kazakhstan,74.34
58,Nigeria,74.17
59,Chile,72.38
60,Israel,72.33
61,Botswana,68.94
62,Uruguay,66.65
63,Poland,65.97
64,Albania,64.19
65,Mauritius,63.55
66,Serbia,62.94
67,Vietnam,60.19
68,Philippines,60.07
69,Montenegro,59.80
70,Turkey,59.77
71,Mexico,58.69
72,Azerbaijan,55.59
73,Togo,54.45
74,Morocco,52.61
75,Kenya,51.98
76,Iran,50.80
77,Tanzania,48.41
78,Honduras,46.52
79,Moldova,45.10
80,Jamaica,44.97
81,Georgia,44.75
82,Costa Rica,44.39
83,Kosovo,43.86
84,Mozambique,43.36
85,Uzbekistan,42.71
86,Iraq,41.66
87,Mongolia,40.94
88,Lebanon,40.57
89,Russia,39.69
90,Jordan,39.50
91,El Salvador,38.58
92,Trinidad and Tobago,38.28
93,Ethiopia,37.61
94,Uganda,37.54
95,Laos,37.35
96,Armenia,37.32
97,Kyrgyzstan,37.30
98,Argentina,36.91
99,Bosnia and Herzegovina,36.36
100,Tunisia,36.08
101,Egypt,35.82
102,Ukraine,35.37
103,Senegal,35.24
104,Cambodia,34.36
105,Guyana,34.13
106,C̫te d'Ivoire,32.74
107,Ecuador,32.45
108,Indonesia,32.26
109,Papua New Guinea,31.15
110,Myanmar (Burma),30.43
111,Angola,30.16
112,Peru,29.41
113,Zambia,29.03
114,Algeria,28.57
115,Nicaragua,28.50
116,Fiji,28.24
117,Sri Lanka,27.44
118,Zimbabwe,26.82
119,DR Congo,26.67
120,Panama,26.64
121,Belarus,25.52
122,Namibia,25.22
123,Paraguay,25.19
124,Bangladesh,24.74
125,Pakistan,22.71
126,Libya,20.95
127,Nepal,20.63
128,Ghana,20.08
129,Colombia,19.60
130,Somalia,18.93
131,Tajikistan,18.68
132,Cameroon,17.70
133,Syria,17.59
134,Bolivia,15.47
135,Venezuela,15.15
136,Haiti,14.12
137,Cuba,13.85
138,Sudan,12.71
139,Yemen,11.67
140,Afghanistan,7.02
