Country,FPS
United States,1.94
Canada,5.380281690140845
United Kingdom,5.453333333333333
France,7.045454545454546
Russian Federation,7.225
Sweden,7.39622641509434
Germany,7.612903225806452
Australia,8.475
China,9.0
Netherlands,9.066666666666666
Finland,11.214285714285714
Denmark,11.515151515151516
Brazil,12.375
Saudi Arabia,12.5625
Poland,12.897435897435898
Spain,13.066666666666666
Belgium,13.404761904761905
"Korea, Republic of",13.85
Italy,15.916666666666666
Japan,15.958333333333334
Thailand,16.666666666666668
Turkey,17.142857142857142
Norway,17.34375
Portugal,17.68
Estonia,17.91304347826087
Singapore,18.08
Ukraine,18.565217391304348
New Zealand,18.782608695652176
Ireland,21.45945945945946
Mexico,21.555555555555557
Austria,21.64
Afghanistan,22.75
Czech Republic,23.095238095238095
Bulgaria,24.0
Israel,24.333333333333332
Argentina,24.4375
Liechtenstein,25.0
"Taiwan, Republic of China",25.307692307692307
Switzerland,25.46153846153846
Belarus,25.473684210526315
Hungary,25.476190476190474
Latvia,25.76923076923077
Croatia,26.071428571428573
South Africa,26.9
Wallis And Futuna,27.0
Philippines,27.071428571428573
Indonesia,27.272727272727273
Ã…land Islands,28.0
Slovakia,30.357142857142858
Bosnia and Herzegovina,30.6
Northern Mariana Islands,31.0
Chile,32.18181818181818
Malaysia,32.333333333333336
Colombia,32.333333333333336
Malta,32.36363636363637
India,32.54545454545455
Kazakhstan,33.23076923076923
Romania,33.38461538461539
Serbia,33.8125
Georgia,34.333333333333336
Lithuania,36.23076923076923
Puerto Rico,37.57142857142857
Hong Kong,38.285714285714285
Viet Nam,38.625
Mongolia,38.666666666666664
Morocco,38.72727272727273
Greece,39.0
--UNDEFINED--,39.0
Slovenia,39.55555555555556
United Arab Emirates,39.833333333333336
Gibraltar,40.0
Jordan,40.0
Montenegro,42.0
Venezuela,43.0
Peru,43.0
Uzbekistan,43.5
Guyana,44.0
Ethiopia,44.0
Iceland,44.2
Lebanon,44.6
Faroe Islands,45.5
Uruguay,46.0
Papua New Guinea,46.0
Egypt,47.22222222222222
Guatemala,47.8
Albania,49.2
Jamaica,49.5
Dominican Republic,50.2
Kuwait,50.2
Ecuador,50.42857142857143
Azerbaijan,52.0
"Moldova, Republic of",54.166666666666664
Pakistan,54.6
Honduras,55.0
North Macedonia,55.333333333333336
Myanmar,58.666666666666664
Iraq,59.2
"Iran, Islamic Republic of",59.75
Algeria,61.333333333333336
Trinidad and Tobago,61.5
El Salvador,62.0
American Samoa,62.0
Cuba,63.75
Luxembourg,64.0
"Kosovo, Republic of",65.0
Cambodia,65.0
Syrian Arab Republic,65.66666666666667
Kenya,66.0
Tunisia,66.6
Qatar,67.0
Costa Rica,68.5
Bangladesh,69.4
Paraguay,72.33333333333333
Bahrain,72.5
Sri Lanka,73.0
"Palestine, State of",74.66666666666667
New Caledonia,76.5
Panama,76.66666666666667
French Polynesia,77.0
Kyrgyzstan,78.0
Macao,80.0
Lao People's Democratic Republic,84.0
Brunei Darussalam,84.5
Mauritius,89.0
Namibia,90.0
Botswana,97.0
Mozambique,98.0
Armenia,102.0
Cyprus,107.0
Maldives,110.0
Jersey,111.0
Saint Martin,112.0
Bolivia,113.0
