Country,MOBA
China,2.3
United States,3.4
Germany,10.166666666666666
Russian Federation,10.529411764705882
"Korea, Republic of",11.166666666666666
Brazil,11.416666666666666
Sweden,11.733333333333333
Denmark,12.272727272727273
Canada,12.6875
France,12.916666666666666
Australia,14.666666666666666
Malaysia,14.909090909090908
Viet Nam,15.714285714285714
Ukraine,16.0
Singapore,16.5
Philippines,16.6
United Kingdom,17.214285714285715
Thailand,17.5
Norway,18.0
Netherlands,18.384615384615383
Turkey,19.6
Finland,20.555555555555557
Japan,20.6
Ã…land Islands,21.0
Poland,21.153846153846153
Hong Kong,21.166666666666668
Bulgaria,22.25
Spain,22.923076923076923
"Taiwan, Republic of China",23.0
Argentina,23.125
Indonesia,23.2
Myanmar,24.0
Romania,24.22222222222222
Kazakhstan,26.0
Kyrgyzstan,27.0
Lebanon,27.0
Croatia,27.75
Yemen,28.0
Peru,28.75
Austria,29.285714285714285
Slovakia,29.4
Italy,29.666666666666668
Jordan,29.666666666666668
Estonia,29.714285714285715
Macao,29.75
Hungary,30.25
New Zealand,30.555555555555557
Portugal,30.625
Serbia,30.833333333333332
--UNDEFINED--,31.0
Israel,31.5
Belgium,31.666666666666668
Mexico,32.125
Belarus,32.5
Greece,32.75
Saudi Arabia,34.0
Uganda,34.0
Czech Republic,34.333333333333336
Slovenia,34.5
Chile,34.625
Egypt,34.75
Morocco,35.0
Uruguay,35.5
Switzerland,36.625
Cambodia,37.5
Dominican Republic,38.5
Venezuela,38.57142857142857
Kuwait,40.333333333333336
"Moldova, Republic of",41.0
Mongolia,41.5
Latvia,41.5
Bolivia,42.5
India,43.0
Panama,43.0
Uzbekistan,43.0
"Iran, Islamic Republic of",43.8
Colombia,43.833333333333336
"Kosovo, Republic of",44.0
Tunisia,44.0
Costa Rica,44.333333333333336
Lithuania,44.6
Armenia,45.666666666666664
Brunei Darussalam,46.0
North Macedonia,46.5
Iraq,47.0
Ecuador,49.25
Pakistan,50.0
Luxembourg,50.0
Puerto Rico,51.5
Lao People's Democratic Republic,52.0
United Arab Emirates,53.666666666666664
Ireland,54.2
Sri Lanka,54.5
Syrian Arab Republic,55.25
Algeria,56.25
"Palestine, State of",58.5
Georgia,60.0
Guatemala,62.0
South Africa,62.5
Cuba,71.0
Iceland,71.66666666666667
Turkmenistan,72.0
Albania,72.5
Nepal,73.0
Bosnia and Herzegovina,74.0
Nicaragua,74.5
Jamaica,75.0
Afghanistan,79.0
Bahrain,82.0
Malta,82.0
Bangladesh,85.0
El Salvador,85.0
Azerbaijan,91.0
Bermuda,93.0
Senegal,93.0
Trinidad and Tobago,94.0
Montenegro,95.0
Paraguay,97.0
Andorra,102.0
Aruba,103.0
Cyprus,104.0
Faroe Islands,105.0
